Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Provinsi Kalimantan Barat;Nilai Rata-rata Sekolah UN SMP;69,86;54,21;52,1;52,08;;;;;;;;74662;-0.2787808;1.114.752.851
Provinsi Kalimantan Barat;Nilai Rata-rata Sekolah UN SMA IPA;76,87;67,06;51,82;;54,69;58,55;55,37;;;;;10911;-0.2787808;1.114.752.851
Provinsi Kalimantan Barat;Nilai Rata-rata Sekolah UN SMA IPS;69,71;61,91;53,65;;;;;55,39;62,99;52,87;;24514;-0.2787808;1.114.752.851
Provinsi Kalimantan Barat;Nilai Rata-rata Sekolah UN SMA SMK;63,47;52,1;41,82;;;;;;;;74,19;13191;-0.2787808;1.114.752.851
Provinsi Kalimantan Selatan;Nilai Rata-rata Sekolah UN SMP;73,38;61,68;58,05;65,48;;;;;;;;56852;-30.926.415;1.152.837.585
Provinsi Kalimantan Selatan;Nilai Rata-rata Sekolah UN SMA IPA;74,16;69,64;66,62;;69,15;55,79;59,63;;;;;9499;-30.926.415;1.152.837.585
Provinsi Kalimantan Selatan;Nilai Rata-rata Sekolah UN SMA IPS;66,32;60,71;49,7;;;;;53,39;61,77;46,07;;13476;-30.926.415;1.152.837.585
Provinsi Kalimantan Selatan;Nilai Rata-rata Sekolah UN SMA SMK;66,21;50,57;40,66;;;;;;;;74,3;14567;-30.926.415;1.152.837.585
Provinsi Kalimantan Tengah;Nilai Rata-rata Sekolah UN SMA IPS;67,41;50,02;43,8;;;;;43,73;51,48;47,94;;9853;-16.814.878;1.133.823.545
Provinsi Kalimantan Tengah;Nilai Rata-rata Sekolah UN SMA SMK;62,3;48,31;41,45;;;;;;;;75,5;7009;-16.814.878;1.133.823.545
Provinsi Kalimantan Tengah;Nilai Rata-rata Sekolah UN SMA IPA;74,45;55,33;41,63;;45,79;47,93;49,35;;;;;6548;-16.814.878;1.133.823.545
Provinsi Kalimantan Tengah;Nilai Rata-rata Sekolah UN SMP;70,94;59,09;54,06;57,97;;;;;;;;37404;-16.814.878;1.133.823.545
Provinsi Kalimantan Timur;Nilai Rata-rata Sekolah UN SMP;71,63;54,42;47,71;51,35;;;;;;;;53494;16.406.296;116.419.389
Provinsi Kalimantan Timur;Nilai Rata-rata Sekolah UN SMA IPA;74,62;64,43;50,42;;56,13;51,5;52,79;;;;;9362;16.406.296;116.419.389
Provinsi Kalimantan Timur;Nilai Rata-rata Sekolah UN SMA IPS;66,84;54,47;49,23;;;;;48,37;59,83;47,31;;10308;16.406.296;116.419.389
Provinsi Kalimantan Timur;Nilai Rata-rata Sekolah UN SMA SMK;65,93;50,1;40,61;;;;;;;;77,54;20035;16.406.296;116.419.389
