Wilayah;Keterangan;Bahasa Indonesia;Bahasa Inggris;Matematika;IPA;Fisika;Kimia;Biologi;Ekonomi;Sosiologi;Geografi;Kejuruan;Jumlah Peserta;latitude;longitude
Kabupaten Mamuju Utara;Nilai Rata-rata Sekolah UN SMA SMK;67,69;53,24;60,34;;;;;;;;77,7;454;-15.264.542;1.195.107.708
Kabupaten Mamuju Utara;Nilai Rata-rata Sekolah UN SMA IPS;65,15;56,6;58,66;;;;;54,58;62,44;50,93;;564;-15.264.542;1.195.107.708
Kabupaten Mandailing Natal;Nilai Rata-rata Sekolah UN SMP;64,97;53,15;48,48;52,67;;;;;;;;8376;0.7432372;993.673.084
Kabupaten Mandailing Natal;Nilai Rata-rata Sekolah UN SMA SMK;52,5;38,9;28,02;;;;;;;;72,52;1983;0.7432372;993.673.084
Kabupaten Mandailing Natal;Nilai Rata-rata Sekolah UN SMA IPS;63,27;45,86;44,09;;;;;45,59;48,85;42,77;;2338;0.7432372;993.673.084
Kabupaten Mandailing Natal;Nilai Rata-rata Sekolah UN SMA IPA;67,87;48,68;40,84;;45,82;44,25;44,75;;;;;2210;0.7432372;993.673.084
Kabupaten Manggarai;Nilai Rata-rata Sekolah UN SMA SMK;66,12;54,52;61,61;;;;;;;;79,33;1480;-86.796.987;1.203.896.651
Kabupaten Manggarai;Nilai Rata-rata Sekolah UN SMA IPS;57,18;50,44;36,74;;;;;40,02;53,47;40,1;;2499;-86.796.987;1.203.896.651
Kabupaten Manggarai;Nilai Rata-rata Sekolah UN SMA IPA;69,05;56,28;36,62;;41,94;42,45;40,84;;;;;852;-86.796.987;1.203.896.651
Kabupaten Manggarai;Nilai Rata-rata Sekolah UN SMP;67,36;57,78;51,56;58,01;;;;;;;;7088;-86.796.987;1.203.896.651
Kabupaten Manggarai Barat;Nilai Rata-rata Sekolah UN SMP;70,74;63,78;57,89;62,03;;;;;;;;5115;-86.688.149;1.200.665.236
Kabupaten Manggarai Barat;Nilai Rata-rata Sekolah UN SMA IPA;67,86;56,1;34,96;;41,77;42,17;39,65;;;;;482;-86.688.149;1.200.665.236
Kabupaten Manggarai Barat;Nilai Rata-rata Sekolah UN SMA IPS;58,25;51,75;42,05;;;;;40,83;53,43;41,62;;1049;-86.688.149;1.200.665.236
Kabupaten Manggarai Barat;Nilai Rata-rata Sekolah UN SMA SMK;61,13;45,81;35,17;;;;;;;;77,46;444;-86.688.149;1.200.665.236
Kabupaten Manggarai Timur;Nilai Rata-rata Sekolah UN SMP;69,57;66,37;59,05;61,52;;;;;;;;5593;-86.206.712;1.206.199.895
Kabupaten Manggarai Timur;Nilai Rata-rata Sekolah UN SMA IPA;67,16;53,89;37,84;;43,79;41,2;37,57;;;;;551;-86.206.712;1.206.199.895
Kabupaten Manggarai Timur;Nilai Rata-rata Sekolah UN SMA IPS;58,88;50,73;41,4;;;;;42,82;53,62;43,08;;1547;-86.206.712;1.206.199.895
Kabupaten Manggarai Timur;Nilai Rata-rata Sekolah UN SMA SMK;63,03;58,42;56,71;;;;;;;;73,41;236;-86.206.712;1.206.199.895
Kabupaten Manokwari;Nilai Rata-rata Sekolah UN SMA IPS;71;57,71;60,88;;;;;61,14;67,74;58,48;;652;-0.8614531;1.340.620.421
Kabupaten Manokwari;Nilai Rata-rata Sekolah UN SMA SMK;67,34;64,86;63,14;;;;;;;;74,35;734;-0.8614531;1.340.620.421
Kabupaten Manokwari;Nilai Rata-rata Sekolah UN SMA IPA;78,89;63,32;69,84;;61,59;75,34;71,94;;;;;825;-0.8614531;1.340.620.421
Kabupaten Manokwari;Nilai Rata-rata Sekolah UN SMP;70,74;61,09;62,65;62,65;;;;;;;;2507;-0.8614531;1.340.620.421
Kabupaten Manokwari Selatan;Nilai Rata-rata Sekolah UN SMP;73,36;58,31;66,19;62,52;;;;;;;;378;;
Kabupaten Manokwari Selatan;Nilai Rata-rata Sekolah UN SMA IPA;52,72;27,06;21,38;;21,58;22,8;27,7;;;;;49;;
Kabupaten Manokwari Selatan;Nilai Rata-rata Sekolah UN SMA SMK;48,07;60,29;80,71;;;;;;;;70,06;28;;
Kabupaten Manokwari Selatan;Nilai Rata-rata Sekolah UN SMA IPS;52,64;34,66;48,46;;;;;39,89;51,11;37,46;;160;;
Kabupaten Mappi;Nilai Rata-rata Sekolah UN SMA IPS;40,35;42,39;38,03;;;;;34,28;44,7;32,89;;332;-7.102.232;139.396.393
Kabupaten Mappi;Nilai Rata-rata Sekolah UN SMA SMK;46,47;63,93;51,04;;;;;;;;69,98;60;-7.102.232;139.396.393
Kabupaten Mappi;Nilai Rata-rata Sekolah UN SMA IPA;57,28;50,15;39,14;;41,5;37,2;46,23;;;;;173;-7.102.232;139.396.393
Kabupaten Mappi;Nilai Rata-rata Sekolah UN SMP;67,05;67,49;63;66,7;;;;;;;;1029;-7.102.232;139.396.393
Kabupaten Maros;Nilai Rata-rata Sekolah UN SMP;70,38;66,91;69,45;71,58;;;;;;;;6058;-494.695;119.578.903
Kabupaten Maros;Nilai Rata-rata Sekolah UN SMA IPA;77,39;65,79;74,88;;81,78;52,38;78,61;;;;;1692;-494.695;119.578.903
Kabupaten Maros;Nilai Rata-rata Sekolah UN SMA IPS;68,19;62,39;72,51;;;;;59,33;51,75;52,43;;1640;-494.695;119.578.903
Kabupaten Maros;Nilai Rata-rata Sekolah UN SMA SMK;75,03;74,02;68,65;;;;;;;;75,67;938;-494.695;119.578.903
Kabupaten Maybrat;Nilai Rata-rata Sekolah UN SMP;72,95;74,88;73,63;67,57;;;;;;;;344;;
Kabupaten Maybrat;Nilai Rata-rata Sekolah UN SMA IPA;71,03;64,09;45,01;;53,65;76,04;38,46;;;;;65;;
Kabupaten Maybrat;Nilai Rata-rata Sekolah UN SMA SMK;52,55;62,82;46,14;;;;;;;;74,53;22;;
Kabupaten Maybrat;Nilai Rata-rata Sekolah UN SMA IPS;71,64;64,44;63,75;;;;;48,38;69,98;50,07;;86;;
Kabupaten Melawi;Nilai Rata-rata Sekolah UN SMA IPA;72,77;52,57;32,56;;35,07;39,48;40,99;;;;;439;-0.7000681;1.116.660.725
Kabupaten Melawi;Nilai Rata-rata Sekolah UN SMP;65,04;47,27;43,61;46,48;;;;;;;;2908;-0.7000681;1.116.660.725
Kabupaten Melawi;Nilai Rata-rata Sekolah UN SMA IPS;63,53;46,05;33,3;;;;;38,23;48,72;40,37;;917;-0.7000681;1.116.660.725
Kabupaten Melawi;Nilai Rata-rata Sekolah UN SMA SMK;58,23;50,08;46,42;;;;;;;;74,85;438;-0.7000681;1.116.660.725
Kabupaten Memberamo Raya;Nilai Rata-rata Sekolah UN SMP;67,34;62,22;73,41;62,07;;;;;;;;371;;
Kabupaten Memberamo Raya;Nilai Rata-rata Sekolah UN SMA IPA;68,39;52,9;44,52;;29,17;38,56;61,11;;;;;45;;
Kabupaten Memberamo Raya;Nilai Rata-rata Sekolah UN SMA SMK;;;;;;;;;;;;;;
Kabupaten Memberamo Raya;Nilai Rata-rata Sekolah UN SMA IPS;70,22;45,94;61,92;;;;;49,66;53,96;48,29;;104;;
Kabupaten Membramo Tengah;Nilai Rata-rata Sekolah UN SMA IPS;77,15;70,96;83,44;;;;;73,78;62,18;61,51;;45;;
Kabupaten Membramo Tengah;Nilai Rata-rata Sekolah UN SMA SMK;;;;;;;;;;;;;;
Kabupaten Membramo Tengah;Nilai Rata-rata Sekolah UN SMA IPA;72,13;68,9;66,95;;54,88;70,12;62,38;;;;;21;;
Kabupaten Membramo Tengah;Nilai Rata-rata Sekolah UN SMP;67,27;73,33;74,08;75,73;;;;;;;;193;;
Kabupaten Mempawah;Nilai Rata-rata Sekolah UN SMA IPA;75,49;73,44;55,25;;57,57;60,49;55,59;;;;;448;;
Kabupaten Mempawah;Nilai Rata-rata Sekolah UN SMP;66,52;51,51;53,93;50,64;;;;;;;;3994;;
Kabupaten Mempawah;Nilai Rata-rata Sekolah UN SMA IPS;67,83;68,17;63,63;;;;;68,35;64,64;54,9;;1392;;
Kabupaten Mempawah;Nilai Rata-rata Sekolah UN SMA SMK;61,66;50,31;40,02;;;;;;;;72,96;468;;
Kabupaten Merangin;Nilai Rata-rata Sekolah UN SMP;61,42;49,06;44,44;46,71;;;;;;;;5489;-21.752.789;1.019.804.613
Kabupaten Merangin;Nilai Rata-rata Sekolah UN SMA SMK;52,71;38,2;27,34;;;;;;;;74,72;938;-21.752.789;1.019.804.613
Kabupaten Merangin;Nilai Rata-rata Sekolah UN SMA IPS;54,83;45,61;35,21;;;;;42,57;45,13;41,15;;1768;-21.752.789;1.019.804.613
Kabupaten Merangin;Nilai Rata-rata Sekolah UN SMA IPA;66;54,43;39,27;;45,75;43,17;53,88;;;;;949;-21.752.789;1.019.804.613
Kabupaten Merauke;Nilai Rata-rata Sekolah UN SMP;66,25;50,14;45,82;51,3;;;;;;;;3414;-84.960.406;1.403.945.527
Kabupaten Merauke;Nilai Rata-rata Sekolah UN SMA IPS;53,95;32,34;26,93;;;;;29,73;44,92;34,65;;876;-84.960.406;1.403.945.527
Kabupaten Merauke;Nilai Rata-rata Sekolah UN SMA IPA;71,15;41,24;27,85;;29,7;33,82;39,85;;;;;849;-84.960.406;1.403.945.527
Kabupaten Merauke;Nilai Rata-rata Sekolah UN SMA SMK;50,38;46,87;31,22;;;;;;;;75,09;761;-84.960.406;1.403.945.527
Kabupaten Mesuji;Nilai Rata-rata Sekolah UN SMA SMK;66,06;61,85;55,59;;;;;;;;83,16;380;-40.044.783;1.053.131.185
Kabupaten Mesuji;Nilai Rata-rata Sekolah UN SMA IPS;60,02;49,65;45,97;;;;;44,52;46,13;32,13;;535;-40.044.783;1.053.131.185
Kabupaten Mesuji;Nilai Rata-rata Sekolah UN SMA IPA;69,48;52,92;44,32;;35,07;37,28;55,64;;;;;301;-40.044.783;1.053.131.185
Kabupaten Mesuji;Nilai Rata-rata Sekolah UN SMP;65,23;46,32;42,82;45,66;;;;;;;;2570;-40.044.783;1.053.131.185
Kabupaten Mimika;Nilai Rata-rata Sekolah UN SMA SMK;58,57;68,79;58,23;;;;;;;;77,4;993;-44.553.223;1.371.362.125
Kabupaten Mimika;Nilai Rata-rata Sekolah UN SMA IPA;66,09;41,59;24,81;;27,06;31,67;32,97;;;;;468;-44.553.223;1.371.362.125
Kabupaten Mimika;Nilai Rata-rata Sekolah UN SMA IPS;56,54;35,62;27,47;;;;;30,71;45,71;35,74;;460;-44.553.223;1.371.362.125
Kabupaten Mimika;Nilai Rata-rata Sekolah UN SMP;70,64;62,7;58,49;62,23;;;;;;;;2959;-44.553.223;1.371.362.125
Kabupaten Minahasa;Nilai Rata-rata Sekolah UN SMA SMK;57,99;64,24;52,86;;;;;;;;79,16;1311;1;1.245.833.333
Kabupaten Minahasa;Nilai Rata-rata Sekolah UN SMA IPS;61,89;71,21;67,67;;;;;55,73;58,58;48,13;;992;1;1.245.833.333
Kabupaten Minahasa;Nilai Rata-rata Sekolah UN SMA IPA;70,66;74,44;68,26;;67,94;58,19;62,9;;;;;927;1;1.245.833.333
Kabupaten Minahasa;Nilai Rata-rata Sekolah UN SMP;75,03;72,8;73,93;70,58;;;;;;;;4872;1;1.245.833.333
Kabupaten Minahasa Selatan;Nilai Rata-rata Sekolah UN SMP;72,86;74,26;73,24;76,11;;;;;;;;3633;10.946.773;1.244.641.848
Kabupaten Minahasa Selatan;Nilai Rata-rata Sekolah UN SMA IPA;62,93;64,38;55,26;;67,98;53,68;58,35;;;;;591;10.946.773;1.244.641.848
Kabupaten Minahasa Selatan;Nilai Rata-rata Sekolah UN SMA IPS;54,44;54,22;45,59;;;;;48,03;49,97;42,4;;566;10.946.773;1.244.641.848
Kabupaten Minahasa Selatan;Nilai Rata-rata Sekolah UN SMA SMK;57,2;51,79;42,98;;;;;;;;76,6;1124;10.946.773;1.244.641.848
Kabupaten Minahasa Tenggara;Nilai Rata-rata Sekolah UN SMP;72,43;72,01;71,93;71,84;;;;;;;;1760;10.278.551;1.247.298.765
Kabupaten Minahasa Tenggara;Nilai Rata-rata Sekolah UN SMA IPA;66,39;63,9;48,04;;59,22;33,69;53,29;;;;;338;10.278.551;1.247.298.765
Kabupaten Minahasa Tenggara;Nilai Rata-rata Sekolah UN SMA IPS;58,84;56,62;52,64;;;;;47,08;49,04;41,18;;334;10.278.551;1.247.298.765
Kabupaten Minahasa Tenggara;Nilai Rata-rata Sekolah UN SMA SMK;64,42;57,33;61,89;;;;;;;;80,6;419;10.278.551;1.247.298.765
Kabupaten Minahasa Utara;Nilai Rata-rata Sekolah UN SMA SMK;59,6;57,8;47,66;;;;;;;;75,92;863;15.327.973;124.994.751
Kabupaten Minahasa Utara;Nilai Rata-rata Sekolah UN SMA IPS;61,25;61,19;58,5;;;;;52,24;53;43,56;;635;15.327.973;124.994.751
Kabupaten Minahasa Utara;Nilai Rata-rata Sekolah UN SMA IPA;73,11;75,1;64,62;;70,91;63,42;67,84;;;;;556;15.327.973;124.994.751
Kabupaten Minahasa Utara;Nilai Rata-rata Sekolah UN SMP;72,76;73,03;75,32;74,2;;;;;;;;3039;15.327.973;124.994.751
Kabupaten Mojokerto;Nilai Rata-rata Sekolah UN SMP;73,04;62,89;59,83;68,14;;;;;;;;15579;-7.488.075;112.427.027
Kabupaten Mojokerto;Nilai Rata-rata Sekolah UN SMA SMK;66,16;67,64;60,53;;;;;;;;80,32;6026;-7.488.075;112.427.027
Kabupaten Mojokerto;Nilai Rata-rata Sekolah UN SMA IPS;65,75;65,28;61,47;;;;;58,5;65,26;55,06;;3222;-7.488.075;112.427.027
Kabupaten Mojokerto;Nilai Rata-rata Sekolah UN SMA IPA;75,01;72,68;70,24;;75,13;60,78;70,89;;;;;2791;-7.488.075;112.427.027
Kabupaten Morowali;Nilai Rata-rata Sekolah UN SMA IPA;66,51;56,59;40,89;;53,04;39,1;49,71;;;;;463;-23.003.072;1.215.370.003
Kabupaten Morowali;Nilai Rata-rata Sekolah UN SMP;66,95;56,7;49,72;60,48;;;;;;;;1930;-23.003.072;1.215.370.003
Kabupaten Morowali;Nilai Rata-rata Sekolah UN SMA IPS;60,09;51,55;48,81;;;;;46,2;56,04;45,04;;660;-23.003.072;1.215.370.003
Kabupaten Morowali;Nilai Rata-rata Sekolah UN SMA SMK;59,25;43,04;35,96;;;;;;;;73,38;298;-23.003.072;1.215.370.003
Kabupaten Morowali Utara;Nilai Rata-rata Sekolah UN SMA SMK;59,56;40,55;27,99;;;;;;;;72,34;330;;
Kabupaten Morowali Utara;Nilai Rata-rata Sekolah UN SMA IPS;61,48;46,39;34,24;;;;;38,66;50,11;37,42;;378;;
Kabupaten Morowali Utara;Nilai Rata-rata Sekolah UN SMA IPA;68,8;54,02;41,79;;46,84;31,38;43,89;;;;;317;;
Kabupaten Morowali Utara;Nilai Rata-rata Sekolah UN SMP;68,17;54,39;46,38;55,77;;;;;;;;1781;;
Kabupaten Muara Enim;Nilai Rata-rata Sekolah UN SMP;71,59;66,78;67,53;65,75;;;;;;;;9680;;
Kabupaten Muara Enim;Nilai Rata-rata Sekolah UN SMA IPA;76,36;66,23;67,72;;68,22;65,87;65,13;;;;;1858;-3.651.581;103.770.798
Kabupaten Muara Enim;Nilai Rata-rata Sekolah UN SMA IPS;71,17;61,03;63,25;;;;;58,25;61,35;57,37;;2362;-3.651.581;103.770.798
Kabupaten Muara Enim;Nilai Rata-rata Sekolah UN SMA SMK;59,55;49,8;41,84;;;;;;;;74,19;2243;-3.651.581;103.770.798
Kabupaten Muaro Jambi;Nilai Rata-rata Sekolah UN SMP;69,01;62,66;61,28;60,31;;;;;;;;5591;-1.596.672;103.615.799
Kabupaten Muaro Jambi;Nilai Rata-rata Sekolah UN SMA SMK;55,94;45,23;43,96;;;;;;;;77,24;942;-1.596.672;103.615.799
Kabupaten Muaro Jambi;Nilai Rata-rata Sekolah UN SMA IPS;68,27;61,37;59,91;;;;;62,55;63,57;60,2;;1346;-1.596.672;103.615.799
Kabupaten Muaro Jambi;Nilai Rata-rata Sekolah UN SMA IPA;74,53;65,04;57,88;;58,61;62,46;66,56;;;;;1079;-1.596.672;103.615.799
Kabupaten Muko-muko;Nilai Rata-rata Sekolah UN SMP;67,67;43,17;37,93;42,98;;;;;;;;3043;-25.760.003;1.011.169.805
Kabupaten Muko-muko;Nilai Rata-rata Sekolah UN SMA IPA;69,94;55,36;31,38;;59,36;32,6;57,19;;;;;580;-25.760.003;1.011.169.805
Kabupaten Muko-muko;Nilai Rata-rata Sekolah UN SMA SMK;56,5;45,63;26,59;;;;;;;;74,58;274;-25.760.003;1.011.169.805
Kabupaten Muko-muko;Nilai Rata-rata Sekolah UN SMA IPS;60,34;47,92;27,98;;;;;35,33;42,05;36,13;;937;-25.760.003;1.011.169.805
Kabupaten Muna;Nilai Rata-rata Sekolah UN SMP;73,52;65,74;67,52;68,93;;;;;;;;4521;-4.901.629;1.226.277.455
Kabupaten Muna;Nilai Rata-rata Sekolah UN SMA IPS;70,1;65,07;68,34;;;;;59,68;64,36;56,47;;1315;-4.901.629;1.226.277.455
Kabupaten Muna;Nilai Rata-rata Sekolah UN SMA IPA;74,7;67,93;70,4;;75,66;66,56;66,81;;;;;1782;-4.901.629;1.226.277.455
Kabupaten Muna;Nilai Rata-rata Sekolah UN SMA SMK;75,23;71,3;69,72;;;;;;;;78,22;640;-4.901.629;1.226.277.455
Kabupaten Muna Barat;Nilai Rata-rata Sekolah UN SMA SMK;69,09;62,77;66,12;;;;;;;;76,72;112;;
Kabupaten Muna Barat;Nilai Rata-rata Sekolah UN SMA IPA;74,62;67,19;64,39;;75,08;66,48;63,27;;;;;440;;
Kabupaten Muna Barat;Nilai Rata-rata Sekolah UN SMA IPS;71,21;63,92;72,98;;;;;62,09;67,13;51,7;;419;;
Kabupaten Muna Barat;Nilai Rata-rata Sekolah UN SMP;71,81;65,85;69,08;69,69;;;;;;;;1524;;
Kabupaten Murung Raya;Nilai Rata-rata Sekolah UN SMA SMK;55,18;50,1;56,01;;;;;;;;74,3;119;-0.1362171;1.143.341.432
Kabupaten Murung Raya;Nilai Rata-rata Sekolah UN SMA IPS;66,14;51,42;52,56;;;;;46,8;53,84;49,86;;606;-0.1362171;1.143.341.432
Kabupaten Murung Raya;Nilai Rata-rata Sekolah UN SMA IPA;71,8;53,68;55,75;;55,84;56,01;53,26;;;;;240;-0.1362171;1.143.341.432
Kabupaten Murung Raya;Nilai Rata-rata Sekolah UN SMP;67,64;56,59;53,52;54,56;;;;;;;;1709;-0.1362171;1.143.341.432
Kabupaten Musi Banyuasin;Nilai Rata-rata Sekolah UN SMA SMK;57,78;55,04;53,12;;;;;;;;75,66;1579;-25.442.029;1.037.289.167
Kabupaten Musi Banyuasin;Nilai Rata-rata Sekolah UN SMA IPS;60,58;45,95;49,37;;;;;47,46;51,91;44,84;;2472;-25.442.029;1.037.289.167
Kabupaten Musi Banyuasin;Nilai Rata-rata Sekolah UN SMA IPA;68,97;55,41;53,75;;62,07;49,04;48,68;;;;;2099;-25.442.029;1.037.289.167
Kabupaten Musi Banyuasin;Nilai Rata-rata Sekolah UN SMP;65,7;60,81;58,44;58,88;;;;;;;;9434;-25.442.029;1.037.289.167
Kabupaten Musi Rawas;Nilai Rata-rata Sekolah UN SMP;69,03;58,96;57,79;59,58;;;;;;;;5597;-28.625.305;102.989.615
Kabupaten Musi Rawas;Nilai Rata-rata Sekolah UN SMA IPA;80,71;71,44;70,39;;73,99;76,21;69,91;;;;;1333;-28.625.305;102.989.615
Kabupaten Musi Rawas;Nilai Rata-rata Sekolah UN SMA IPS;74,71;67,74;72,98;;;;;70,13;62,99;59,77;;1505;-28.625.305;102.989.615
Kabupaten Musi Rawas;Nilai Rata-rata Sekolah UN SMA SMK;55,79;41,87;26,56;;;;;;;;76,43;400;-28.625.305;102.989.615
Kabupaten Musi Rawas Utara;Nilai Rata-rata Sekolah UN SMP;76,03;76,56;80,7;61,39;;;;;;;;2603;;
Kabupaten Musi Rawas Utara;Nilai Rata-rata Sekolah UN SMA SMK;58,3;55,9;51,18;;;;;;;;75,11;104;;
Kabupaten Musi Rawas Utara;Nilai Rata-rata Sekolah UN SMA IPS;81,75;75,16;73,25;;;;;76,94;71,04;68,27;;614;;
Kabupaten Musi Rawas Utara;Nilai Rata-rata Sekolah UN SMA IPA;83,22;76,89;68,42;;75,57;85,29;68,76;;;;;515;;
Kabupaten Nabire;Nilai Rata-rata Sekolah UN SMP;60,04;44,52;38,82;44,46;;;;;;;;2197;-35.095.462;1.357.520.985
Kabupaten Nabire;Nilai Rata-rata Sekolah UN SMA IPS;47,56;38,66;23,63;;;;;28,8;38,59;30;;709;-35.095.462;1.357.520.985
Kabupaten Nabire;Nilai Rata-rata Sekolah UN SMA IPA;64,94;46,6;25,79;;30,12;28,45;34,41;;;;;686;-35.095.462;1.357.520.985
Kabupaten Nabire;Nilai Rata-rata Sekolah UN SMA SMK;37,61;33,39;23,78;;;;;;;;74,32;529;-35.095.462;1.357.520.985
Kabupaten Nagakeo;Nilai Rata-rata Sekolah UN SMA SMK;59,97;35,29;26,83;;;;;;;;81,77;333;-86.753.545;1.213.084.088
Kabupaten Nagakeo;Nilai Rata-rata Sekolah UN SMA IPS;58,65;34,02;27,65;;;;;31,99;46,78;34,65;;933;-86.753.545;1.213.084.088
Kabupaten Nagakeo;Nilai Rata-rata Sekolah UN SMA IPA;69,29;42,01;28,47;;30,08;34,52;35,77;;;;;334;-86.753.545;1.213.084.088
Kabupaten Nagakeo;Nilai Rata-rata Sekolah UN SMP;67,71;48,93;42,45;49,06;;;;;;;;2737;-86.753.545;1.213.084.088
Kabupaten Nagan Raya;Nilai Rata-rata Sekolah UN SMP;72,73;68,62;67,86;52,14;;;;;;;;2573;41.248.406;964.929.797
Kabupaten Nagan Raya;Nilai Rata-rata Sekolah UN SMA IPA;74,99;68,18;69,59;;61,81;66,4;58,14;;;;;860;41.248.406;964.929.797
Kabupaten Nagan Raya;Nilai Rata-rata Sekolah UN SMA IPS;70,95;65,73;72,92;;;;;48,98;62,54;58,99;;939;41.248.406;964.929.797
Kabupaten Nagan Raya;Nilai Rata-rata Sekolah UN SMA SMK;43,36;36,84;21,54;;;;;;;;75,77;161;41.248.406;964.929.797
Kabupaten Natuna;Nilai Rata-rata Sekolah UN SMA IPS;73,24;58,83;62,44;;;;;57,43;56,88;54,94;;588;39.329.945;1.081.812.242
Kabupaten Natuna;Nilai Rata-rata Sekolah UN SMA SMK;73,29;59,62;56,5;;;;;;;;79,58;145;39.329.945;1.081.812.242
Kabupaten Natuna;Nilai Rata-rata Sekolah UN SMA IPA;77,27;62,49;57,73;;56,93;60,78;61,69;;;;;360;39.329.945;1.081.812.242
Kabupaten Natuna;Nilai Rata-rata Sekolah UN SMP;69,31;53,95;48,6;51,77;;;;;;;;1272;39.329.945;1.081.812.242
Kabupaten Nduga;Nilai Rata-rata Sekolah UN SMA IPS;66,66;55,87;78,37;;;;;71,43;73,86;70,86;;14;-44.069.496;1.382.393.528
Kabupaten Nduga;Nilai Rata-rata Sekolah UN SMA SMK;;;;;;;;;;;;;-44.069.496;1.382.393.528
Kabupaten Nduga;Nilai Rata-rata Sekolah UN SMA IPA;;;;;;;;;;;;;-44.069.496;1.382.393.528
Kabupaten Nduga;Nilai Rata-rata Sekolah UN SMP;74,11;79,77;69,39;70,42;;;;;;;;131;-44.069.496;1.382.393.528
Kabupaten Ngada;Nilai Rata-rata Sekolah UN SMP;67,59;46,21;38,17;47,88;;;;;;;;3183;-87.430.424;1.209.876.321
Kabupaten Ngada;Nilai Rata-rata Sekolah UN SMA IPA;72,71;46,77;29,56;;33,33;36,94;39,57;;;;;385;-87.430.424;1.209.876.321
Kabupaten Ngada;Nilai Rata-rata Sekolah UN SMA IPS;65,81;38,12;33,07;;;;;35,84;54,8;39,88;;916;-87.430.424;1.209.876.321
Kabupaten Ngada;Nilai Rata-rata Sekolah UN SMA SMK;55,24;38,88;25,64;;;;;;;;77,88;412;-87.430.424;1.209.876.321
Kabupaten Nganjuk;Nilai Rata-rata Sekolah UN SMA IPA;77,24;70,58;57,53;;69,91;56,24;69,84;;;;;2594;-7.602.932;111.901.808
Kabupaten Nganjuk;Nilai Rata-rata Sekolah UN SMA IPS;67,82;60,93;53,58;;;;;55,95;64,99;52,71;;3013;-7.602.932;111.901.808
Kabupaten Nganjuk;Nilai Rata-rata Sekolah UN SMA SMK;68,57;49,04;43,63;;;;;;;;77,54;6174;-7.602.932;111.901.808
Kabupaten Nganjuk;Nilai Rata-rata Sekolah UN SMP;73,05;56,03;49,02;60,7;;;;;;;;16837;-7.602.932;111.901.808
Kabupaten Ngawi;Nilai Rata-rata Sekolah UN SMP;75,2;50,31;43,17;51,22;;;;;;;;12261;-738.993;11.146.193
Kabupaten Ngawi;Nilai Rata-rata Sekolah UN SMA SMK;71,49;49,42;44,37;;;;;;;;77,36;5817;-738.993;11.146.193
Kabupaten Ngawi;Nilai Rata-rata Sekolah UN SMA IPS;68,93;61,37;55,5;;;;;55,36;65,84;54,83;;1576;-738.993;11.146.193
Kabupaten Ngawi;Nilai Rata-rata Sekolah UN SMA IPA;77,6;68,43;54,99;;60,73;55,67;66,4;;;;;1388;-738.993;11.146.193
Kabupaten Nias;Nilai Rata-rata Sekolah UN SMA IPA;56,85;40,04;32,12;;34,96;29,77;37,6;;;;;249;-81.712.591;1.137.111.274
Kabupaten Nias;Nilai Rata-rata Sekolah UN SMA IPS;43,39;36,73;30,3;;;;;33,44;37,85;32,27;;293;-81.712.591;1.137.111.274
Kabupaten Nias;Nilai Rata-rata Sekolah UN SMA SMK;51,36;50,4;45,05;;;;;;;;73,57;829;-81.712.591;1.137.111.274
Kabupaten Nias;Nilai Rata-rata Sekolah UN SMP;62,24;59,42;57,77;55,06;;;;;;;;2753;-81.712.591;1.137.111.274
Kabupaten Nias Barat;Nilai Rata-rata Sekolah UN SMA SMK;63,96;65,65;71,45;;;;;;;;78,15;531;11.255.279;975.247.243
Kabupaten Nias Barat;Nilai Rata-rata Sekolah UN SMA IPS;64,96;62,13;58,92;;;;;48,48;46,85;55,6;;339;11.255.279;975.247.243
Kabupaten Nias Barat;Nilai Rata-rata Sekolah UN SMA IPA;64,15;63,27;51,22;;58,45;59,65;51,51;;;;;510;11.255.279;975.247.243
Kabupaten Nias Barat;Nilai Rata-rata Sekolah UN SMP;67,95;67,05;68,89;62,76;;;;;;;;1885;11.255.279;975.247.243
Kabupaten Nias Selatan;Nilai Rata-rata Sekolah UN SMP;68,41;70,76;67,84;59,57;;;;;;;;6685;0.7086091;978.286.368
Kabupaten Nias Selatan;Nilai Rata-rata Sekolah UN SMA SMK;60,59;63,14;60,87;;;;;;;;75,5;1914;0.7086091;978.286.368
Kabupaten Nias Selatan;Nilai Rata-rata Sekolah UN SMA IPS;61,12;57,53;58,77;;;;;49,86;48,72;50,01;;1461;0.7086091;978.286.368
Kabupaten Nias Selatan;Nilai Rata-rata Sekolah UN SMA IPA;64,56;59,73;51,38;;55,03;53,13;54,44;;;;;1250;0.7086091;978.286.368
Kabupaten Nias Utara;Nilai Rata-rata Sekolah UN SMP;67,98;62,07;62,55;59,14;;;;;;;;2886;11.255.279;975.247.243
Kabupaten Nias Utara;Nilai Rata-rata Sekolah UN SMA IPA;78,84;72,18;65,45;;74,49;50,21;61,13;;;;;325;11.255.279;975.247.243
Kabupaten Nias Utara;Nilai Rata-rata Sekolah UN SMA IPS;78,75;72,75;67,7;;;;;49,43;63;64,89;;269;11.255.279;975.247.243
Kabupaten Nias Utara;Nilai Rata-rata Sekolah UN SMA SMK;57,9;68,85;61,61;;;;;;;;77,04;1099;11.255.279;975.247.243
