Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Kab. Pelalawan;0,219395;102,267469;27,25;33,01;29,1;28,67;4,24
Kab. Pemalang;-7,035244;109,396123;29,17;38,76;32,47;46,75;8,63
Kab. Penajam Paser Utara;-1,157494;116,597737;24,36;26,34;26,73;26,56;3,15
Kab. Penukal Abab Lematang Ilir;-3,212895;103,983294;35,32;38,84;44,52;59,95;0
Kab. Pesawaran;-5,473596;105,110286;21,61;30,97;27,66;34,4;0
KAB. PESISIR BARAT;-5,328993;104,156338;19,8;20,96;31,86;31,47;0
Kab. Pesisir Selatan;-1,742293;100,882958;22,11;26,68;33,2;28,72;9,01
Kab. Pidie;5,068187;96,007174;18,78;20,57;24,62;29,36;7,33
Kab. Pidie Jaya;5,124762;96,216592;19,22;21,14;23,69;17,64;11,5
Kab. Pinrang;-3,622451;119,599885;21,49;29,33;35,43;38,05;4,38
Kab. Pohuwato;0,688048;121,711127;20,39;22,42;31,52;14,3;13,5
Kab. Polewali Mandar;-3,312218;119,144797;22,92;27,47;34,81;27,15;3,07
Kab. Ponorogo;-7,931996;111,499036;16,73;26,27;26,07;39,09;4,22
Kab. Poso;-1,680864;120,5211;16,27;21,28;26,15;20,49;4,94
Kab. Pringsewu;-5,330802;104,919928;21,47;31,17;28,31;36,91;4,2
Kab. Probolinggo;-7,868172;113,319317;19,06;27,2;31,15;39,28;6,45
Kab. Pulang Pisau;-2,71598;113,954599;12,81;20,76;23,53;9,92;6,38
KAB. PULAU TALIABU;-1,818913;124,740565;24,55;30,57;38,07;21,68;0
kab. Puncak;-3,653217;137,4717;27,07;27,36;29,67;0;0
Kab. Puncak Jaya;-3,307599;137,98048;62,35;44;41,77;19,82;0
Kab. Purbalingga;-7,321807;109,411577;22,97;30,51;28,15;37,25;14,56
Kab. Purwakarta;-6,590724;107,443811;33,98;35,23;37,65;45,09;7,69
Kab. Purworejo;-7,697777;109,967038;19,64;27,91;27,1;35,17;7,08
Kab. Raja Ampat;-0,90035;130,539459;16,17;25,82;21,24;13,77;0
Kab. Rejang Lebong;-3,430754;102,698901;23,05;26,91;27,03;29,77;4,67
Kab. Rembang;-6,774294;111,4626;20,78;28,43;30,02;32,83;23,89
Kab. Rokan Hilir;1,770662;100,747219;26,02;27,48;31,48;27,71;5,7
Kab. Rokan Hulu;0,939519;100,475632;25,93;26,7;27,54;24,07;5,69
Kab. Rote-Ndao;-10,726037;123,124486;20,54;26,69;33,66;11,66;0
Kab. Sabu Raijua;-10,53573;121,844739;25,18;31,75;29,74;30,47;0
Kab. Sambas;1,424186;109,345717;26,14;29,5;30,8;30,67;12,8
Kab. Samosir;2,558752;98,721319;14,43;27,38;31,49;27,91;0
Kab. Sampang;-7,051746;113,255138;21,11;28,34;32,2;30,7;10,6
Kab. Sanggau;0,250815;110,457929;19,48;30,61;32,65;30,81;6,3
Kab. Sarmi;-2,526255;139,066745;22,21;30,62;29,08;14,91;0
Kab. Sarolangun;-2,304215;102,646248;21,52;24,88;27,69;23,66;5,83
Kab. Sekadau;-0,009566;110,985291;18,32;27,59;33,9;45,48;9,67
Kab. Seluma;-4,052239;102,657726;19,08;26,76;30,96;27,16;7,33
Kab. Semarang;-7,271058;110,476546;22,63;28,99;27,62;39,19;5,73
Kab. Seram Bagian Barat;-3,127404;128,319564;18,94;25,74;28,45;17,69;0
Kab. Seram Bagian Timur;-3,421755;130,444204;20,23;20,25;30,18;21,06;0
Kab. Serang;-6,144224;106,154884;32,71;31,81;32,16;38,48;8,78
Kab. Serdang Bedagai;3,366393;99,057542;24,93;33,1;34,93;29,27;18,33
Kab. Seruyan;-2,28087;112,175651;17,91;22,03;24,75;21,67;3,86
Kab. Siak;0,826468;101,824921;27,2;27,93;31,4;24,91;8,76
Kab. Sidenreng Rappang;-3,807311;119,971357;20,23;24,33;33,41;21,67;2,76
Kab. Sidoarjo;-7,451151;112,695648;32,77;33,33;33,84;43,14;5,46
Kab. Sigi;-1,408556;119,97043;19,37;24;27,21;23,36;6,33
Kab. Sijunjung;-0,684066;101,089468;20,95;23,16;26,34;21,55;8,65
Kab. Sikka;-8,608742;122,303717;18,86;28,3;29,5;23,77;11,8
Kab. Simalungun;2,97685;99,033037;19,93;28,32;32,39;27,68;3,15
Kab. Simeulue;2,613419;96,085543;14,81;19,9;24,78;16,21;0
Kab. Sinjai;-5,209875;120,135708;17,26;25,79;30,49;24,54;4,92
Kab. Sintang;0,156464;112,001654;20,1;26,47;29,48;29,72;6,6
Kab. Situbondo;-7,801673;114,05161;17,87;28,47;35,75;40,93;5,04
Kab. Sleman;-7,716275;110,389239;24,23;29,32;24,78;28,52;3,8
Kab. Solok;-0,962346;100,81862;20,01;22,79;24,64;19,89;6,55
Kab. Solok Selatan;-1,404175;101,252551;18,92;21,7;28,32;28,56;5,29
Kab. Soppeng;-4,338975;119,892082;13,08;19,9;28,39;24,81;4,23
Kab. Sorong;-1,105726;131,566892;20,15;22,45;21,76;25,19;8
Kab. Sorong Selatan;-1,707291;132,097074;20,59;22,88;23,6;43;0
Kab. Sragen;-7,384713;110,975583;20,94;30,12;25,44;36,74;8,33
Kab. Subang;-6,481954;107,733423;25,19;35,59;33,94;36,24;11,53
Kab. Sukabumi;-7,074296;106,704432;29,33;33,09;33,49;33,75;8,11
Kab. Sukamara;-2,623328;111,160759;19,05;25,5;22;23,35;0
Kab. Sukoharjo;-7,686701;110,832327;19,03;28,97;29,91;35,61;4,58
Kab. Sumba Barat;-9,64222;119,379665;23,79;29,33;39,43;29,99;9,4
Kab. Sumba Barat Daya;-9,534295;119,179942;34,02;35,91;33,73;45,36;0
Kab. Sumba Tengah;-9,547817;119,665647;19,91;26,36;21,46;30,97;10
Kab. Sumba Timur;-9,877314;120,254914;20,79;28,05;43,03;25,15;2,16
Kab. Sumbawa;-8,703227;117,484995;21,78;27,17;30,93;33,13;6,14
Kab. Sumbawa Barat;-8,829664;116,91506;22,08;21,57;25,63;25,15;6,18
Kab. Sumedang;-6,824555;107,982217;25,57;30,3;29,8;33,2;3,98
Kab. Sumenep;-6,969551;114,406263;15,62;23,3;28,33;30,89;7,08
Kab. Supiori;-0,746306;135,563367;16;24,93;25,25;9,67;0
Kab. Tabalong;-1,856765;115,498143;17,15;21,95;24,62;29,27;6,85
Kab. Tabanan;-8,427936;115,078026;17,87;34,43;41,41;28,47;6,84
Kab. Takalar;-5,419847;119,470794;21,64;28,43;31,76;32,45;3,65
Kab. Tambrauw;-0,789172;132,729386;16,83;21,52;35;13,67;0
Kab. Tana Tidung;3,549702;117,169664;21,18;32,15;26,28;0;0
Kab. Tana Toraja;-3,108391;119,712289;20,02;25,39;29,73;27,31;3,55
Kab. Tanah Bumbu;-3,442462;115,648412;23,38;28,12;31,34;37,88;5,3
Kab. Tanah Datar;-0,460535;100,585939;19,57;20,4;25,73;27,72;9,67
Kab. Tanah Laut;-3,820168;114,90391;21,53;25,47;27,55;30,24;4,94
Kab. Tangerang;-6,180928;106,523901;40,78;38,37;34,73;41,46;7,69
Kab. Tanggamus;-5,435875;104,67526;22,43;29,52;31,01;32,06;0
Kab. Tanjung Jabung Barat;-1,078255;103,136116;23,61;26,76;27,75;30,63;7,21
Kab. Tanjung Jabung Timur;-1,240041;103,985182;17,64;23,62;30,44;20,64;18,2
Kab. Tapanuli Selatan;1,49124;99,257865;21,94;24,72;36,12;24,5;14,4
Kab. Tapanuli Tengah;1,835132;98,661023;19,76;30,37;35,54;30,25;8,17
Kab. Tapanuli Utara;1,988365;99,073077;18,35;26,84;33,97;24,56;18
Kab. Tapin;-2,92407;115,047375;16,47;24,09;26,07;45,3;3,95
Kab. Tasikmalaya;-7,495534;108,138124;23,86;29,8;31,35;36,17;6,25
Kab. Tebo;-1,308975;102,350544;22,63;25,42;28,2;24,56;4,59
Kab. Tegal;-7,029443;109,160549;28,88;33,72;29,88;34,17;6,35
Kab. Teluk Bintuni;-2,003885;133,309014;22,65;21,83;21,65;28,12;0
Kab. Teluk Wondama;-2,6367;134,343816;16,3;27,67;27,9;10,16;0
Kab. Temanggung;-7,259393;110,139982;20,8;29,94;27,87;31,58;6,32
Kab. Timor Tengah Selatan;-9,827945;124,396775;21,06;28,5;29,74;25,98;12,45
Kab. Timor Tengah Utara;-9,37751;124,569663;19,48;22,82;26,81;23,08;3,59
Kab. Toba Samosir;2,379721;99,264134;17,46;24,2;31,24;34,04;7,33
Kab. Tojo Una-Una;-1,112053;121,574059;16,6;23,96;51,38;29,6;7,29
Kab. Tolikara;-3,387471;138,588637;36,38;37,92;26,87;22,25;0
Kab. Tolitoli;0,925945;120,718857;21,43;25,01;31,46;25,87;10
Kab. Toraja Utara;-2,888259;119,868996;22,61;26,08;30,96;25,55;14
Kab. Trenggalek;-8,165361;111,623622;16,52;27,37;31,28;32,41;7,37
Kab. Tuban;-6,953163;111,893752;19,6;29,39;30,97;53,4;7,2
Kab. Tulang Bawang;-4,372702;105,532002;28,82;29,4;31,55;23,24;4,4
Kab. Tulang Bawang Barat;-4,42483;105,092042;24,41;25,85;28,93;24,71;0
Kab. Tulungagung;-8,115369;111,886332;19,84;31,18;32,6;47,1;13,72
Kab. Wajo;-4,006471;120,170974;15,5;23,83;30,36;19,28;9,33
Kab. Wakatobi;-5,575562;123,794836;18,07;19,27;27,68;18,23;4,75
Kab. Waropen;-2,690816;136,638434;15,61;20,96;17,29;11,74;0
Kab. Way Kanan;-4,5165;104,614476;22,43;25,56;26,62;28,03;5
Kab. Wonogiri;-7,920652;110,999404;15,76;26,65;26,06;34,03;5,34
Kab. Wonosobo;-7,415441;109,909239;22,55;29,55;29,66;29,55;8,06
Kab. Yahukimo;-4,469373;139,585175;41,75;38,45;27,18;26,93;0
Kab. Yalimo;-3,804523;139,578247;30,15;29,7;26,46;23,86;0
Kota Ambon;-3,675354;128,180913;29,26;32,12;34,74;33,9;16,17
Kota Balikpapan;-1,159989;116,865984;42,66;35,39;36,93;36,97;8,98
Kota Banda Aceh;5,559424;95,326745;27,57;23,83;22,25;23,13;5,41
Kota Bandar Lampung;-5,415245;105,26683;43,74;31,88;33,9;32,07;7,87
Kota Bandung;-6,924193;107,635067;44,9;36,6;32,8;38,61;4,46
Kota Banjar;-7,3745;108,552276;24,22;28,96;29,09;34,33;10,08
Kota Banjarbaru;-3,476037;114,82248;27,64;28,24;28,74;28,15;3,24
Kota Banjarmasin;-3,323233;114,600937;28,03;31,17;31,73;37,02;5,53
Kota Batam;0,962772;104,064656;40,81;36,6;30,01;28,85;6,66
Kota Batu;-7,82677;112,533663;26,44;27,07;22,29;31,48;6,2
Kota Baubau;-5,429854;122,675274;34,75;23,17;30,47;22,88;25,88
Kota Bekasi;-6,283311;106,978782;42,81;39,11;30,67;49,97;7,06
Kota Bengkulu;-3,8277;102,312675;33,69;29,02;28,87;21,26;6,42
Kota Bima;-8,455902;118,78495;23,39;24,43;29,09;35,66;3,75
Kota Binjai;3,599398;98,488794;27,18;36,48;35,61;34;6,41
Kota Bitung;1,481863;125,152491;26,14;30,65;26,93;24,27;4,62
Kota Blitar;-8,088287;112,164789;27,44;29,97;31,7;41,66;15,94
Kota Bogor;-6,593714;106,797577;43,55;34,97;28,11;36,82;6,59
Kota Bontang;0,090838;117,45697;34,94;28,94;29,98;27,37;4,7
Kota Bukittinggi;-0,300053;100,371875;29,32;34,62;33,37;36,73;6,16
Kota Cilegon;-6,014603;106,012012;31,86;28,75;29,15;44,18;5,05
Kota Cimahi;-6,890063;107,550024;43,05;43,71;30,8;38,01;4,55
Kota Cirebon;-6,753213;108,549165;31,96;33,63;31,63;34,11;5,64
Kota Denpasar;-8,661541;115,219639;41,96;43,43;32,1;37,91;12,17
Kota Depok;-6,397258;106,812857;46,03;36,41;34,77;32,01;6,76
Kota Dumai;1,79757;101,311672;35,84;33,69;29,58;26,97;10,26
Kota Gorontalo;0,539902;123,0569;23,55;30,95;28,19;32,76;16,71
Kota Gunungsitoli;1,265302;97,583047;22,76;27;27,23;33,03;10,33
Kota Jakarta Barat;-6,164548;106,74587;33,62;32,26;26,25;35,3;4,15
Kota Jakarta Pusat;-6,181464;106,83528;30,91;31,66;30,13;33,12;4,7
Kota Jakarta Selatan;-6,272443;106,808707;34,29;31,89;28,77;32,18;3,93
Kota Jakarta Timur;-6,25514;106,902415;36,28;36,78;32,5;40,83;4,88
Kota Jakarta Utara;-6,129449;106,871786;36,52;33,64;30,03;34,97;5,88
Kota Jambi;-1,62092;103,641619;29,65;31,38;30,96;35,46;7,76
Kota Jayapura;-2,65592;140,776797;31,29;32,55;31,41;22,43;6,53
Kota Kediri;-7,826716;112,013081;31,54;31,07;29,21;45,25;4,62
Kota Kendari;-4,000418;122,532632;34,01;31,37;30,58;30,59;4,26
Kota Kotamobagu;0,731867;124,31361;24,35;28,43;21,79;59,1;4,1
Kota Kupang;-10,203768;123,60734;36,09;36,43;32,45;24,2;6,13
Kota Langsa;4,481313;97,976659;24,68;22,51;27,48;28,56;10,56
Kota Lhokseumawe;5,164525;97,110283;30,65;27,99;26,97;29,99;5,53
Kota Lubuk Linggau;-3,263543;102,879311;32,01;35,5;28,33;36,72;10,42
Kota Madiun;-7,629871;111,530573;25,2;26,84;27,44;29,96;3,15
Kota Magelang;-7,494691;110,226283;28,77;30,58;24,73;44,18;5,69
Kota Makassar;-5,133807;119,46176;44,63;37,52;29,9;28,55;5
Kota Malang;-7,973761;112,631413;28,9;32,55;28,51;42,8;4,71
Kota Manado;1,523566;124,84957;25,63;32,03;30,82;23,59;4,31
Kota Mataram;-8,590279;116,111014;34,19;33,01;34,38;31,59;5,2
Kota Medan;3,627613;98,667966;35,36;32,69;32,87;30,14;7,33
Kota Metro;-5,121921;105,306323;28,21;28,8;25,37;38,85;4,84
Kota Mojokerto;-7,468754;112,438197;33,7;31,35;28,08;41,52;5,18
Kota Padang;-0,895622;100,435376;30,8;32,32;28,37;35,61;4,58
Kota Padang Panjang;-0,471241;100,403794;25,58;26,93;26,25;22,14;13,24
Kota Padang Sidimpuan;1,396235;99,280985;30,55;27,88;30,21;29,63;10,82
Kota Pagar Alam;-4,109112;103,262636;24,39;27,83;30,59;36,66;5,72
Kota Palangka Raya;-2,018471;113,769117;23,4;30,81;25,99;25,28;8,37
Kota Palembang;-2,973355;104,731487;41,91;33,9;31,24;37,12;5,76
Kota Palopo;-2,98048;120,147913;26,59;27,91;34,98;23,67;6
Kota Palu;-0,829876;119,910001;29,49;23,87;27,34;25,38;7,76
Kota Pangkalpinang;-2,229535;106,143368;31,74;36,76;29,13;30,12;6,15
Kota Pare-Pare;-4,029459;119,661678;26,22;25,68;27,93;22,5;16,6
Kota Pariaman;-0,607654;100,137406;21,06;31,12;36,18;30,48;5,65
Kota Pasuruan;-7,653979;112,903493;27,11;30,89;29,67;41,76;12,38
Kota Payakumbuh;-0,226056;100,631019;26,72;30,1;31,32;39,82;4,84
Kota Pekalongan;-6,901375;109,688345;27,41;31,29;29,28;39,23;8,03
Kota Pekanbaru;0,549964;101,464512;41,7;34,32;28,58;31,12;9
Kota Pematangsiantar;2,962221;99,058792;26,85;28,87;35,84;29,58;8
Kota Pontianak;-0,070774;109,353891;36,83;33,83;35,34;33,53;8,13
Kota Prabumulih;-3,452762;104,229527;35,72;38,78;28,33;31,45;8,19
Kota Probolinggo;-7,778959;113,212992;27,55;28,62;27,55;41,08;8,63
Kota Sabang;5,83804;95,305622;21,3;18,78;25,12;9,89;5,71
Kota Salatiga;-7,338984;110,497712;24,97;27,56;20,36;50,34;4,77
Kota Samarinda;-0,500648;117,178691;43,35;34,4;32,79;33,84;5,73
Kota Sawah Lunto;-0,653719;100,757045;18,65;24,82;27,15;23,69;9,58
Kota Semarang;-7,02272;110,385436;31,51;28,42;28,67;41,96;4,04
Kota Serang;-6,124295;106,162484;37,44;34,34;33,7;41,99;6,07
Kota Sibolga;1,738246;98,785779;33,27;35,45;36,55;35,14;6,22
Kota Singkawang;0,887237;109,030089;25,31;26,66;29,79;32,13;9,07
Kota Solok;-0,782367;100,630437;25,34;29,76;34,58;25,36;4
Kota Sorong;-0,929367;131,365756;35,29;28,39;28,54;21,97;13
Kota Subulussalam;2,737597;97,936545;21,32;26,65;32,82;30,74;0
Kota Sukabumi;-6,9492;106,913906;33,07;33,69;31,15;30,51;4,91
Kota Sungai Penuh;-2,075969;101,348417;19,04;20,76;35,91;25,81;10,45
Kota Surabaya;-7,275692;112,711572;36,61;34,68;30,27;55,19;5,17
Kota Surakarta;-7,556202;110,823247;30,1;27,17;29,53;31,33;4,63
Kota Tangerang;-6,188625;106,652193;44,79;34,84;31,35;33,54;8,39
Kota Tangerang Selatan;-6,302563;106,717026;39,91;30,71;28,75;35,11;6,38
Kota Tanjung Balai;2,964441;99,794983;31,66;30,74;34,74;24,42;12,78
Kota Tanjungpinang;0,920313;104,484327;38,84;34,32;31,11;29,24;5,98
Kota Tarakan;3,354998;117,600716;36,56;36,33;36,75;35,51;9,44
Kota Tasikmalaya;-7,35841;108,215148;33,96;31,41;30,92;31,68;10,36
Kota Tebing Tinggi;3,328235;99,155673;29,83;31,58;27,53;27,61;24,69
Kota Tegal;-6,87682;109,111602;27,71;28,84;28,57;31,21;8,7
Kota Ternate;0,838625;127,174226;28,85;30,92;27,15;23,97;3,04
Kota Tidore Kepulauan;0,485236;127,673663;16,29;19,23;19,79;17,56;3,59
Kota Tomohon;1,323717;124,815544;19,41;29,11;29,01;21,19;4,37
Kota Tual;-5,557629;132,448941;24,53;22,98;25,36;25,15;0
Kota Yogyakarta;-7,802875;110,374287;25,46;29,98;27,81;32,34;3,36
