Wilayah;Lintang;Bujur;SD;SMP;SMA;SMK;PLB
Kab. Aceh Tamiang;4,229489;97,976987;26,66;24,27;27,06;24,03;14,64
Kab. Aceh Tengah;4,530121;96,859023;15,94;18,24;23,04;31,69;9,55
Kab. Aceh Tenggara;3,369112;97,696621;21,76;23,31;29,23;20,19;2,52
Kab. Aceh Timur;4,629968;97,627748;23,6;22,67;25,63;21,85;0
Kab. Aceh Utara;5,014969;97,181919;21,7;24,37;25,67;27,57;32,25
Kab. Agam;-0,24946;100,168307;18,92;22,97;27,64;31,06;5,56
Kab. Alor;-8,30386;124,570064;17,87;23,67;30,81;25,08;4,69
Kab. Asahan;2,802338;99,562584;25,95;32,76;36,28;30,82;14,17
Kab. Asmat;-5,3231;138,62231;28;25,14;24,7;17,33;0
Kab. Badung;-8,582205;115,187262;29,36;44,73;35;49,83;7,83
Kab. Balangan;-2,313234;115,640606;11,8;19,94;23,97;23,11;5,25
Kab. Bandung;-7,100556;107,607906;41,6;41,73;37,6;38,21;6,37
Kab. Bandung Barat;-6,89515;107,421756;33,34;37,43;34,26;49,16;7,64
Kab. Banggai;-1,02175;122,578573;18,05;21,3;30,75;24,99;2,87
Kab. Banggai Kepulauan;-1,372225;123,143828;14,7;21,06;25,32;26,71;5,25
KAB. BANGGAI LAUT;-1,788046;123,534412;17,47;19,25;30,04;30,81;0
Kab. Bangka;-1,925481;105,937908;25,05;30,51;28,63;30,09;10,92
Kab. Bangka Barat;-1,890312;105,496372;22,37;27,25;27,91;27,07;3,73
Kab. Bangka Selatan;-2,774951;106,341134;25,18;28,04;28,06;22,93;7,78
Kab. Bangka Tengah;-2,473159;106,282289;28,9;32,76;29,43;31,89;8,17
Kab. Bangkalan;-7,045272;112,928949;26,43;31,79;34,83;41,07;31,67
Kab. Bangli;-8,292793;115,349588;24,06;31,34;26,35;32,16;4,19
Kab. Banjar;-3,318883;115,076982;18,62;25,23;28,08;33,54;3,12
Kab. Banjarnegara;-7,351719;109,661553;18,32;28,05;27,56;41,87;5,2
Kab. Bantaeng;-5,488257;119,987034;19,64;21,71;32,76;22,13;9,33
Kab. Bantul;-7,902833;110,359955;23;27,01;24,84;31,53;4,55
Kab. Banyuasin;-2,496547;104,664552;29;36,34;32,99;34,03;12,38
Kab. Banyumas;-7,452945;109,176469;24,3;32,57;25,84;36,12;10,5
Kab. Banyuwangi;-8,365912;114,206088;21,31;30,9;33,09;38,23;4,89
Kab. Barito Kuala;-3,090083;114,62566;16,8;23,04;25,92;25,72;3,75
Kab. Barito Selatan;-1,81179;114,90598;14,17;19,63;24,33;27,53;4,44
Kab. Barito Timur;-1,980748;115,146595;14,48;23,23;25,78;21,78;3,43
Kab. Barito Utara;-0,93107;115,133907;15,14;26,87;31,33;27;3,29
Kab. Barru;-4,44174;119,694134;14,74;24,71;26,87;25,6;10,5
Kab. Batang;-7,018354;109,875146;20,47;32;30,04;61,06;13,25
Kab. Batang Hari;-1,754396;103,120282;22,64;24,37;32,82;24,83;4,13
Kab. Batubara;3,233992;99,475041;29,77;30,24;32,09;31,14;12
Kab. Bekasi;-6,213759;107,124219;42,62;42,34;37,24;35,59;7,94
Kab. Belitung;-2,866946;107,706134;22,79;31,19;34,72;26,59;16,86
Kab. Belitung Timur;-2,908029;108,011897;17,96;25,47;25,26;23,56;10,5
Kab. Belu;-9,153843;124,968432;21,32;30,4;30,76;23,58;3,08
Kab. Bener Meriah;4,767277;97,007156;17,41;16,25;20,7;17,57;5,55
Kab. Bengkalis;1,406012;101,663322;26,5;28,24;31,9;23,3;3,63
Kab. Bengkayang;1,01497;109,571728;21,71;27,21;33,77;22,77;0
Kab. Bengkulu Selatan;-4,348665;103,023713;17,89;23,95;28,04;20,16;5,04
Kab. Bengkulu Tengah;-3,687483;102,411655;19,74;23,51;27,88;20,03;3,57
Kab. Bengkulu Utara;-3,332141;102,005266;21,33;23,58;28,65;25,15;2,75
Kab. Berau;1,917424;117,314326;24,13;31,37;28,94;27,06;5,56
Kab. Biak Numfor;-1,007121;135,863544;20,8;29,4;31,5;27,24;12,67
Kab. Bima;-8,474865;118,618859;22,2;23,01;34,73;26,5;22,93
Kab. Bintan;0,993517;105,646155;24,65;28,41;33,61;20,1;11,5
Kab. Bireuen;5,093485;96,60918;18,98;22,89;28,13;21,67;5,59
Kab. Blitar;-8,132836;112,236443;17,14;27,6;30,67;45,81;10,44
